Report Date,AAPL,ADBE,AMZN,CMCSA,CSCO,GOOG,INTC,JNJ,KO,MA,MSFT,NFLX,NVDA,PFE,PG,T,UNH,V,VZ,XOM
2011-03-31,0.000000,0.000000,0.000000,0.000000,0.012211,0.000000,0.000000,0.000001,0.292876,0.000000,0.000000,0.131953,0.000000,0.000753,0.258204,0.000000,0.043400,0.000000,0.051052,0.209549
2011-06-30,0.038583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.194698,0.000000,0.079302,0.114911,0.000000,0.000000,0.366757,0.205751,0.000000,0.000000,0.000000,0.000000
2011-09-30,0.197149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.302877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.499981,0.000000,0.000000,0.000000,0.000000,0.000000
2011-12-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.178859,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.256351,0.064752,0.000000,0.000001,0.500037,0.000000
2012-03-31,0.341340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.499994,0.000000,0.017653,0.077409,0.000000,0.000000,0.000000,0.000000,0.063626,0.000000,0.000000,0.000000
2012-06-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013582,0.000000,0.137950,0.500002,0.000000
2012-09-30,0.092317,0.000000,0.000000,0.000000,0.000000,0.499999,0.000000,0.379513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028171
2012-12-31,0.000000,0.146366,0.000000,0.012680,0.015097,0.000000,0.000000,0.068099,0.079892,0.000001,0.000000,0.019424,0.025863,0.271698,0.000001,0.000000,0.000001,0.360875,0.000001,0.000001
2013-03-31,0.000000,0.031732,0.067895,0.094501,0.000000,0.000000,0.000000,0.058983,0.409150,0.000000,0.000000,0.023817,0.000000,0.000000,0.000000,0.000000,0.000000,0.053334,0.260589,0.000000
2013-06-30,0.000000,0.095142,0.000000,0.000000,0.044292,0.057147,0.127037,0.000000,0.000000,0.000000,0.130242,0.015040,0.035513,0.035957,0.000000,0.000000,0.255522,0.000000,0.204108,0.000000
2013-09-30,0.094165,0.000000,0.045801,0.091359,0.000000,0.000000,0.000000,0.294877,0.155464,0.000000,0.000000,0.000000,0.287554,0.000000,0.000000,0.000000,0.000000,0.030781,0.000000,0.000000
2013-12-31,0.347776,0.000000,0.000000,0.000000,0.019838,0.113957,0.037261,0.277428,0.000000,0.000000,0.057575,0.000000,0.000000,0.000000,0.142181,0.000000,0.003985,0.000000,0.000000,0.000000
2014-03-31,0.000000,0.000000,0.000000,0.000000,0.265855,0.000000,0.101957,0.000000,0.000000,0.000000,0.039009,0.059482,0.000000,0.000000,0.186284,0.000000,0.213042,0.065803,0.068568,0.000000
2014-06-30,0.078054,0.000000,0.000000,0.053335,0.065931,0.000000,0.036349,0.030847,0.250120,0.000000,0.000000,0.000000,0.023598,0.000000,0.340194,0.121576,0.000000,0.000000,0.000000,0.000000
2014-09-30,0.058154,0.000000,0.000000,0.000000,0.008079,0.000000,0.000000,0.000000,0.155003,0.000000,0.118217,0.000000,0.000000,0.000000,0.275735,0.279149,0.000000,0.105664,0.000000,0.000000
2014-12-31,0.176702,0.000000,0.000000,0.000000,0.103953,0.000000,0.000000,0.000000,0.131580,0.048562,0.197865,0.000000,0.000000,0.069380,0.195236,0.000000,0.000000,0.076722,0.000000,0.000000
2015-03-31,0.035025,0.074886,0.098837,0.000000,0.000000,0.000000,0.000000,0.000000,0.120629,0.000000,0.000000,0.000000,0.000000,0.027865,0.108478,0.175047,0.000000,0.000000,0.359233,0.000000
2015-06-30,0.000000,0.153699,0.000001,0.000000,0.000002,0.000001,0.000002,0.000000,0.000000,0.000002,0.000001,0.034627,0.042142,0.325806,0.389085,0.054640,0.000000,0.000001,0.000000,0.000000
2015-09-30,0.000000,0.044321,0.000000,0.000000,0.000000,0.020776,0.000000,0.234152,0.499992,0.000000,0.000000,0.000000,0.000000,0.000000,0.200761,0.000000,0.000000,0.000000,0.000000,0.000000
2015-12-31,0.000000,0.070358,0.000000,0.000000,0.000000,0.137332,0.000000,0.099269,0.308001,0.000000,0.000000,0.000000,0.031004,0.073184,0.280851,0.000000,0.000000,0.000000,0.000000,0.000000
2016-03-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.218500,0.192467,0.000000,0.500001,0.000000
2016-06-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013278,0.013958,0.098283,0.000000,0.500004,0.134301,0.000000,0.000001,0.240174
2016-09-30,0.103394,0.000003,0.000005,0.000006,0.059623,0.000005,0.000003,0.499969,0.000010,0.336843,0.000005,0.000001,0.000099,0.000004,0.000004,0.000002,0.000006,0.000004,0.000008,0.000004
2016-12-31,0.000000,0.095608,0.000000,0.083440,0.261594,0.000000,0.033925,0.000000,0.000000,0.000000,0.161006,0.000000,0.000000,0.068894,0.000000,0.000000,0.168056,0.034675,0.000000,0.092801
2017-03-31,0.084302,0.000000,0.135950,0.000007,0.000001,0.000000,0.000003,0.227754,0.228420,0.000001,0.000005,0.016493,0.025787,0.000000,0.000003,0.000003,0.000001,0.281271,0.000000,0.000007
2017-06-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278146,0.000000,0.309930,0.000000,0.000000,0.005627,0.000000,0.406298,0.000000,0.000000,0.000000,0.000000,0.000000
2017-09-30,0.000000,0.000000,0.000000,0.055353,0.000000,0.000000,0.000000,0.000000,0.182902,0.462656,0.000000,0.000000,0.000000,0.040584,0.027663,0.000000,0.103144,0.000001,0.127695,0.000001
2017-12-31,0.055496,0.000000,0.059533,0.021431,0.186094,0.000000,0.000000,0.000000,0.182640,0.000000,0.085433,0.000000,0.000000,0.261427,0.001402,0.000000,0.146544,0.000000,0.000000,0.000000
2018-03-31,0.000000,0.000000,0.032708,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.253491,0.000000,0.000000,0.000000,0.000000,0.213799,0.000000,0.000000,0.000000,0.000000,0.000000
2018-06-30,0.000000,0.000000,0.000000,0.026544,0.000000,0.055363,0.000000,0.000000,0.098889,0.271680,0.000000,0.000000,0.000000,0.295043,0.066237,0.000000,0.006649,0.000000,0.179595,0.000000
2018-09-30,0.350637,0.000000,0.000000,0.046969,0.000000,0.000000,0.000000,0.063403,0.104261,0.000000,0.000000,0.000000,0.107316,0.087354,0.132617,0.000000,0.000000,0.000000,0.107458,0.000000
2018-12-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.060837,0.000000,0.000000,0.500003,0.000000,0.000000,0.000000,0.000000,0.133512,0.000000,0.000000,0.000000,0.000000,0.264971,0.040678
2019-03-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288278,0.054223,0.247018,0.000000,0.000000,0.000000,0.000000,0.213662,0.042958,0.000000,0.077404,0.076457,0.000000
2019-06-30,0.000000,0.000000,0.000000,0.054975,0.000000,0.000000,0.000601,0.000000,0.499990,0.303459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011643,0.000000,0.129025,0.000307
2019-09-30,0.072968,0.000000,0.000000,0.000000,0.000000,0.003821,0.000000,0.382440,0.034053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284125,0.000000,0.071265,0.000000,0.151327
2019-12-31,0.448111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.368910,0.000000,0.000000,0.000000,0.000000,0.000000,0.134898,0.000000,0.048083,0.000000
