Ticker,Report Date,Return on assets,Return on equity,Earnings per share ,Operating profitability ,Accruals,Cash-based operating profitability
AAPL,2010-06-30,0.05026,0.07546,0.12736,17602000000,12921000000,4681000000
AAPL,2010-09-30,0.0573,0.09014,0.16823,22408000000,17738000000,4670000000
AAPL,2010-12-31,0.06922,0.10983,0.23325,29212000000,20254000000,8958000000
AAPL,2011-03-31,0.06308,0.09739,0.23161,27011000000,20736000000,6275000000
AAPL,2011-06-30,0.06845,0.10539,0.28182,31114000000,22867000000,8247000000
AAPL,2011-09-30,0.05691,0.08645,0.25477,30940000000,23879000000,7061000000
AAPL,2011-12-31,0.0942,0.14507,0.50113,49696000000,29721000000,19975000000
AAPL,2012-03-31,0.077,0.11339,0.4446,42366000000,26789000000,15577000000
AAPL,2012-06-30,0.05417,0.07896,0.33648,38444000000,27238000000,11206000000
AAPL,2012-09-30,0.0467,0.06956,0.31307,39423000000,32589000000,6834000000
AAPL,2012-12-31,0.06669,0.1027,0.49746,58362000000,39605000000,18757000000
AAPL,2013-03-31,0.04902,0.07046,0.36287,47394000000,28243000000,19151000000
AAPL,2013-06-30,0.03452,0.05594,0.26826,39146000000,28986000000,10160000000
AAPL,2013-09-30,0.03629,0.0608,0.29672,41313000000,36223000000,5090000000
AAPL,2013-12-31,0.05805,0.1008,0.521,61977000000,45412000000,16565000000
AAPL,2014-03-31,0.04963,0.08506,0.41738,50000000000,34898000000,15102000000
AAPL,2014-06-30,0.03482,0.06406,0.32215,41885000000,35799000000,6086000000
AAPL,2014-09-30,0.03652,0.07591,0.35672,46967000000,48649000000,-1682000000
AAPL,2014-12-31,0.06882,0.14615,0.77117,80094000000,60725000000,19369000000
AAPL,2015-03-31,0.05195,0.10518,0.5855,63388000000,45986000000,17402000000
AAPL,2015-06-30,0.03909,0.08496,0.46585,55203000000,49198000000,6005000000
AAPL,2015-09-30,0.03831,0.0932,0.49248,57426000000,60671000000,-3245000000
AAPL,2015-12-31,0.0626,0.14315,0.82574,82124000000,57344000000,24780000000
AAPL,2016-03-31,0.03445,0.08061,0.47675,56491000000,48306000000,8185000000
AAPL,2016-06-30,0.02551,0.06161,0.35807,48359000000,47138000000,1221000000
AAPL,2016-09-30,0.02802,0.07029,0.41989,52904000000,59321000000,-6417000000
AAPL,2016-12-31,0.05403,0.13514,0.84413,85168000000,62249000000,22919000000
AAPL,2017-03-31,0.03297,0.08226,0.52762,59390000000,51669000000,7721000000
AAPL,2017-06-30,0.02525,0.06583,0.41948,52128000000,55219000000,-3091000000
AAPL,2017-09-30,0.02855,0.07993,0.52015,59390000000,44242000000,15148000000
AAPL,2017-12-31,0.04932,0.14312,0.9811,95931000000,89266000000,6665000000
AAPL,2018-03-31,0.03761,0.10894,0.68768,68665000000,61067000000,7598000000
AAPL,2018-06-30,0.03299,0.10021,0.58985,61074000000,63673000000,-2599000000
AAPL,2018-09-30,0.03862,0.13183,0.73543,70866000000,55888000000,14978000000
AAPL,2018-12-31,0.05342,0.16935,1.05394,92995000000,44293000000,48702000000
AAPL,2019-03-31,0.0338,0.10921,0.61836,66421000000,30443000000,35978000000
AAPL,2019-06-30,0.03117,0.10413,0.54938,62492000000,29115000000,33377000000
AAPL,2019-09-30,0.04043,0.15125,0.76189,72728000000,46236000000,26492000000
AAPL,2019-12-31,0.06528,0.24836,1.25911,1.01467E+11,45111000000,56356000000
ADBE,2010-06-30,0.01856,0.0287,0.28245,1539411000,590838000,948573000
ADBE,2010-09-30,0.02895,0.04525,0.44353,1581631000,573355000,1008276000
ADBE,2010-12-31,0.03302,0.05178,0.53012,1619539000,670422000,949117000
ADBE,2011-03-31,0.02823,0.04324,0.46533,1645398000,570301000,1075097000
ADBE,2011-06-30,0.02751,0.04257,0.45916,1661019000,598038000,1062981000
ADBE,2011-09-30,0.02297,0.03507,0.39451,1643844000,576799000,1067045000
ADBE,2011-12-31,0.01932,0.03004,0.35343,1847310000,684235000,1163075000
ADBE,2012-03-31,0.02028,0.03094,0.3749,1696021000,576789000,1119232000
ADBE,2012-06-30,0.0239,0.0367,0.45141,1815028000,682766000,1132262000
ADBE,2012-09-30,0.02091,0.03127,0.40756,1760861000,638168000,1122693000
ADBE,2012-12-31,0.02214,0.03336,0.44924,1874388000,689785000,1184603000
ADBE,2013-03-31,0.00641,0.00957,0.1306,1760836000,589316000,1171520000
ADBE,2013-06-30,0.00745,0.01105,0.15206,1749516000,599216000,1150300000
ADBE,2013-09-30,0.00811,0.01214,0.16465,1733599000,623671000,1109928000
ADBE,2013-12-31,0.00629,0.00971,0.1308,1830752000,729257000,1101495000
ADBE,2014-03-31,0.00459,0.00712,0.09467,1772322000,661767000,1110555000
ADBE,2014-06-30,0.00854,0.01334,0.17779,1846620000,725494000,1121126000
ADBE,2014-09-30,0.00426,0.00664,0.08965,1778717000,688908000,1089809000
ADBE,2014-12-31,0.00817,0.01301,0.17694,1841823000,776163000,1065660000
ADBE,2015-03-31,0.00771,0.01288,0.1702,1876784000,655815000,1220969000
ADBE,2015-06-30,0.01321,0.02231,0.29541,1945492000,759796000,1185696000
ADBE,2015-09-30,0.01516,0.0255,0.34989,1999283000,799652000,1199631000
ADBE,2015-12-31,0.01899,0.03181,0.44686,2120492000,779356000,1341136000
ADBE,2016-03-31,0.02138,0.03591,0.50951,2260340000,667985000,1592355000
ADBE,2016-06-30,0.01998,0.03367,0.48817,2251100000,752369000,1498731000
ADBE,2016-09-30,0.0219,0.03721,0.54311,2355908000,760384000,1595524000
ADBE,2016-12-31,0.03147,0.05382,0.80616,2529510000,866016000,1663494000
ADBE,2017-03-31,0.03054,0.05251,0.80557,2656956000,966061000,1690895000
ADBE,2017-06-30,0.02801,0.04797,0.75731,2800938000,1041943000,1758995000
ADBE,2017-09-30,0.03017,0.05135,0.85032,2873552000,1079373000,1794179000
ADBE,2017-12-31,0.0345,0.05929,1.01916,3092978000,1121507000,1971471000
ADBE,2018-03-31,0.03894,0.06753,1.18497,3196259000,1052725000,2143534000
ADBE,2018-06-30,0.04373,0.07618,1.34814,3410892000,1185494000,2225398000
ADBE,2018-09-30,0.04328,0.07519,1.35971,3568054000,1176835000,2391219000
ADBE,2018-12-31,0.03614,0.07245,1.38911,3849443000,1385152000,2464291000
ADBE,2019-03-31,0.03457,0.0683,1.38148,4109776000,1337143000,2772633000
ADBE,2019-06-30,0.03217,0.06369,1.29753,4331525000,1529877000,2801648000
ADBE,2019-09-30,0.03953,0.0774,1.63171,4398477000,1534193000,2864284000
ADBE,2019-12-31,0.04103,0.0809,1.76104,4561975000,1663609000,2898366000
AMZN,2010-06-30,0.0167,0.03534,0.46309,7905000000,5250000000,2655000000
AMZN,2010-09-30,0.01631,0.03611,0.51562,9066000000,6375000000,2691000000
AMZN,2010-12-31,0.02208,0.06046,0.92634,15103000000,10372000000,4731000000
AMZN,2011-03-31,0.01191,0.02736,0.44371,11784000000,7730000000,4054000000
AMZN,2011-06-30,0.01065,0.0246,0.4235,12100000000,8045000000,4055000000
AMZN,2011-09-30,0.00331,0.00811,0.13938,13348000000,8978000000,4370000000
AMZN,2011-12-31,0.00696,0.02269,0.38596,20772000000,14896000000,5876000000
AMZN,2012-03-31,0.00639,0.01788,0.28698,16151000000,10488000000,5663000000
AMZN,2012-06-30,0.00033,0.00093,0.01552,16073000000,10964000000,5109000000
AMZN,2012-09-30,-0.012,-0.03628,-0.60619,17321000000,12605000000,4716000000
AMZN,2012-12-31,0.00301,0.01196,0.21491,25994000000,18210000000,7784000000
AMZN,2013-03-31,0.00289,0.00972,0.18022,20158000000,14332000000,5826000000
AMZN,2013-06-30,-0.00024,-0.0008,-0.01535,20120000000,14735000000,5385000000
AMZN,2013-09-30,-0.00129,-0.00451,-0.08972,21843000000,16135000000,5708000000
AMZN,2013-12-31,0.00598,0.02463,0.52174,31857000000,21821000000,10036000000
AMZN,2014-03-31,0.00297,0.01046,0.23478,25281000000,16841000000,8440000000
AMZN,2014-06-30,-0.00332,-0.01188,-0.27332,25296000000,17145000000,8151000000
AMZN,2014-09-30,-0.01081,-0.04228,-0.94384,27075000000,19028000000,8047000000
AMZN,2014-12-31,0.00393,0.01992,0.46121,37394000000,26266000000,11128000000
AMZN,2015-03-31,-0.00114,-0.00524,-0.12258,29784000000,20757000000,9027000000
AMZN,2015-06-30,0.00175,0.00782,0.197,30746000000,21350000000,9396000000
AMZN,2015-09-30,0.0014,0.00636,0.1688,33555000000,23594000000,9961000000
AMZN,2015-12-31,0.00744,0.03601,1.02991,46043000000,30769000000,15274000000
AMZN,2016-03-31,0.00839,0.03477,1.08917,38319000000,24421000000,13898000000
AMZN,2016-06-30,0.01317,0.05182,1.81184,40343000000,25736000000,14607000000
AMZN,2016-09-30,0.00355,0.01417,0.53165,43593000000,29298000000,14295000000
AMZN,2016-12-31,0.00898,0.03884,1.56695,57268000000,39048000000,18220000000
AMZN,2017-03-31,0.00894,0.0334,1.51782,47983000000,31945000000,16038000000
AMZN,2017-06-30,0.00224,0.00849,0.41127,51831000000,35455000000,16376000000
AMZN,2017-09-30,0.00222,0.01038,0.53222,59592000000,41919000000,17673000000
AMZN,2017-12-31,0.01413,0.06698,3.84265,80286000000,52786000000,27500000000
AMZN,2018-03-31,0.01289,0.05178,3.3657,69422000000,41863000000,27559000000
AMZN,2018-06-30,0.0189,0.07241,5.21399,72157000000,44797000000,27360000000
AMZN,2018-09-30,0.02006,0.07369,5.90779,76425000000,49324000000,27101000000
AMZN,2018-12-31,0.01861,0.06951,6.17755,96193000000,61855000000,34338000000
AMZN,2019-03-31,0.01999,0.07356,7.25255,81060000000,56397000000,24663000000
AMZN,2019-06-30,0.01372,0.04947,5.32454,87387000000,62203000000,25184000000
AMZN,2019-09-30,0.01072,0.03776,4.31111,95503000000,64755000000,30748000000
AMZN,2019-12-31,0.01451,0.05266,6.57545,1.17017E+11,79622000000,37395000000
CMCSA,2010-06-30,0.00765,0.02024,0.15696,11184000000,6382000000,4802000000
CMCSA,2010-09-30,0.00744,0.0197,0.15471,11113000000,6557000000,4556000000
CMCSA,2010-12-31,0.00859,0.02284,0.18276,26228000000,6351000000,19877000000
CMCSA,2011-03-31,0.00611,0.01525,0.17009,13970000000,11451000000,2519000000
CMCSA,2011-06-30,0.0066,0.01637,0.18521,16196000000,11347000000,4849000000
CMCSA,2011-09-30,0.00579,0.01445,0.16575,16272000000,11698000000,4574000000
CMCSA,2011-12-31,0.00815,0.02021,0.2371,37929000000,11084000000,26845000000
CMCSA,2012-03-31,0.00775,0.01913,0.226,22261000000,12927000000,9334000000
CMCSA,2012-06-30,0.00855,0.02091,0.25084,22792000000,11761000000,11031000000
CMCSA,2012-09-30,0.01301,0.0319,0.39599,24314000000,13649000000,10665000000
CMCSA,2012-12-31,0.0092,0.02273,0.28652,23665000000,13487000000,10178000000
CMCSA,2013-03-31,0.00919,0.02903,0.27278,22890000000,14938000000,7952000000
CMCSA,2013-06-30,0.01106,0.03445,0.32953,24137000000,15121000000,9016000000
CMCSA,2013-09-30,0.01106,0.03397,0.33028,24101000000,15328000000,8773000000
CMCSA,2013-12-31,0.01205,0.03678,0.36605,24953000000,14734000000,10219000000
CMCSA,2014-03-31,0.01186,0.03551,0.35939,25340000000,14208000000,11132000000
CMCSA,2014-06-30,0.01265,0.03731,0.38396,25010000000,13581000000,11429000000
CMCSA,2014-09-30,0.01628,0.04738,0.50233,25065000000,12585000000,12480000000
CMCSA,2014-12-31,0.01209,0.03556,0.37671,26319000000,12278000000,14041000000
CMCSA,2015-03-31,0.01297,0.03841,0.40853,26353000000,13352000000,13001000000
CMCSA,2015-06-30,0.01338,0.03969,0.4274,27712000000,12556000000,15156000000
CMCSA,2015-09-30,0.01256,0.03754,0.40372,27755000000,12942000000,14813000000
CMCSA,2015-12-31,0.01183,0.03571,0.40192,28652000000,13249000000,15403000000
CMCSA,2016-03-31,0.01251,0.03828,0.43837,28060000000,13572000000,14488000000
CMCSA,2016-06-30,0.01179,0.03588,0.41909,28980000000,13056000000,15924000000
CMCSA,2016-09-30,0.01257,0.03914,0.46546,31195000000,13365000000,17830000000
CMCSA,2016-12-31,0.01272,0.03985,0.48164,31249000000,14923000000,16326000000
CMCSA,2017-03-31,0.01406,0.04341,0.54055,30322000000,14331000000,15991000000
CMCSA,2017-06-30,0.01373,0.04386,0.53151,31431000000,14470000000,16961000000
CMCSA,2017-09-30,0.0143,0.04599,0.56407,31097000000,14636000000,16461000000
